                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.5932,                0.72447,                 1.2099,                0.84146,                0.80352,                 0.8224,                0.32671,                 2.1136,                0.82887,                 1.5471,             9.9415e-05,             9.9415e-05,             9.9415e-05
                     51,                 1.5807,                0.70417,                 1.1936,                0.83226,                0.81534,                0.82021,                 0.3261,                 2.0958,                0.79176,                  1.578,             9.9391e-05,             9.9391e-05,             9.9391e-05
                     52,                 1.5727,                0.71049,                  1.194,                0.83411,                  0.809,                0.82272,                0.33098,                  2.087,                0.84506,                 1.5438,             9.9366e-05,             9.9366e-05,             9.9366e-05
                     53,                 1.5488,                0.70239,                 1.1848,                0.84138,                 0.7943,                0.81868,                0.32996,                 2.1328,                0.83231,                 1.6434,             9.9341e-05,             9.9341e-05,             9.9341e-05
                     54,                  1.563,                0.70667,                 1.1953,                0.85329,                 0.7814,                0.82775,                0.32287,                 2.0806,                0.83496,                 1.5663,             9.9315e-05,             9.9315e-05,             9.9315e-05
                     55,                 1.5511,                0.69099,                 1.1909,                0.85435,                 0.7805,                0.81171,                0.33117,                  2.117,                0.80559,                 1.6075,             9.9289e-05,             9.9289e-05,             9.9289e-05
                     56,                 1.5491,                0.68655,                 1.1929,                0.84736,                0.81466,                0.83967,                 0.3459,                 2.1047,                0.80394,                 1.5816,             9.9263e-05,             9.9263e-05,             9.9263e-05
                     57,                 1.5512,                0.68649,                 1.1915,                0.84293,                0.79905,                0.81399,                0.32537,                 2.1053,                0.82946,                 1.6106,             9.9236e-05,             9.9236e-05,             9.9236e-05
                     58,                 1.5237,                0.67639,                 1.1824,                0.84695,                0.80773,                0.84136,                 0.3298,                 2.0993,                0.82687,                 1.5803,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     59,                 1.5258,                0.68715,                 1.1804,                0.84976,                0.80584,                0.82832,                 0.3271,                 2.1139,                0.79906,                 1.5857,             9.9181e-05,             9.9181e-05,             9.9181e-05
                     60,                 1.5149,                0.66349,                 1.1733,                0.84348,                 0.8072,                 0.8206,                 0.3187,                 2.1481,                0.81619,                 1.6122,             9.9152e-05,             9.9152e-05,             9.9152e-05
                     61,                 1.5143,                0.68412,                 1.1783,                0.85357,                0.80335,                 0.8316,                0.33538,                 2.1007,                0.80089,                 1.6143,             9.9123e-05,             9.9123e-05,             9.9123e-05
                     62,                 1.4721,                0.65468,                 1.1538,                0.83716,                0.81319,                0.82657,                0.32687,                 2.1363,                0.77966,                 1.6659,             9.9094e-05,             9.9094e-05,             9.9094e-05
                     63,                 1.4746,                0.66031,                 1.1621,                0.83976,                0.81121,                0.82758,                0.32244,                 2.1587,                0.78658,                 1.6624,             9.9064e-05,             9.9064e-05,             9.9064e-05
